Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.394172849655151367e+02,8.280902726534256431e+01,0.000000000000000000e+00,4.809599999999999653e+01,4.013700000000000045e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.404210517406463623e+02,7.777929272572727371e+01,0.000000000000000000e+00,4.838900000000000290e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.414091179370880127e+02,8.002105118067370881e+01,0.000000000000000000e+00,4.843800000000000239e+01,4.013700000000000045e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.424127972126007080e+02,7.494260800807744261e+01,0.000000000000000000e+00,4.872999999999999687e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.434008445739746094e+02,8.106938087907094825e+01,0.000000000000000000e+00,4.858400000000000318e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.444042809009552002e+02,7.003466855023633286e+01,0.000000000000000000e+00,4.907200000000000273e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.453929777145385742e+02,7.607674993976347366e+01,0.000000000000000000e+00,4.902300000000000324e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.463965027332305908e+02,7.478912349471502807e+01,0.000000000000000000e+00,4.907200000000000273e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.473851454257965088e+02,7.050461844565039371e+01,0.000000000000000000e+00,4.931600000000000250e+01,4.042999999999999972e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.483885171413421631e+02,7.014535051174735258e+01,0.000000000000000000e+00,4.946300000000000097e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.493771264553070068e+02,7.171658738570209835e+01,0.000000000000000000e+00,4.946300000000000097e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.503804066181182861e+02,6.984787943374716690e+01,0.000000000000000000e+00,4.956099999999999994e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.513685014247894287e+02,6.595381241290193941e+01,0.000000000000000000e+00,4.980499999999999972e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.523723282814025879e+02,7.043829931299521263e+01,0.000000000000000000e+00,4.970700000000000074e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.533598682880401611e+02,6.356506692860121177e+01,0.000000000000000000e+00,5.000000000000000000e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.543637182712554932e+02,6.358832233357445318e+01,0.000000000000000000e+00,5.014600000000000080e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
